Serial No,Book Title,Member ID,ISBN,CHECKOUT DATE,RETURN DATE
2,Book_2,9949,9783161484105,12/02/2020,12/03/2020
6,Book_3,1121,9783161484110,13/10/2020,13/11/2020
7,Book_1,2922,9783161484100,13/02/2020,13/03/2020
4,Book_2,4939,9783161484105,16/03/2020,16/04/2020
6,Book_3,5112,9783161484110,17/05/2019,17/06/2019
10,Book_4,6111,9783161484200,19/03/2018,19/04/2018
9,Book_4,4912,9783161484200,19/01/2018,19/02/2018
4,Book_2,8888,9783161484105,16/07/2020,16/09/2020
5,Book_2,9991,9783161484105,10/10/2020,10/11/2020
9,Book_4,8790,9783161484200,11/09/2002,11/10/2020
2,Book_2,9990,9783161484105,13/03/2003,13/04/2003
2,Book_2,3559,9783161484105,12/09/2020,12/10/2020
3,Book_1,2311,9783161484100,11/01/2020,11/02/2020
9,Book_4,2992,9783161484200,15/05/2020,15/06/2020
5,Book_2,1134,9783161484105,18/07/2020,18/08/2020
10,Book_4,2222,9783161484200,10/10/2020,10/11/2020
5,Book_2,1211,9783161484105,15/08/2020,15/09/2020
6,Book_3,9389,9783161484110,11/01/2020,11/02/2020
2,Book_2,1211,9783161484105,11/01/2020,11/02/2020
3,Book_1,4271,9783161484100,13/10/2020,13/11/2020
4,Book_2,8377,9783161484105,12/03/2020,12/04/2020
3,Book_1,9812,9783161484100,18/05/2020,18/06/2020
9,Book_4,1111,9783161484200,12/12/2019,12/01/2020
10,Book_4,1211,9783161484200,14/10/2020,14/11/2020
4,Book_2,2133,9783161484105,13/02/2010,13/03/2010
4,Book_2,1208,9783161484105,19/09/2021,19/10/2021
6,Book_3,1219,9783161484105,12/03/2020,12/04/2020
4,Book_2,2122,9783161484105,14/05/2020,14/06/2020
10,Book_4,2109,9783161484200,115/05/2020,15/06/2020
